,K_NAME,S_NAME,REMARK,LONGITUDE,LATITUDE,SOURCE
1044,¸äµÅÁö,Sus scrofa,,128.0215809,35.36746327,NES2
1052,¸äµÅÁö,Sus scrofa,,128.0399322,35.3732682,NES2
1071,¸äµÅÁö,Sus scrofa,,128.2370935,35.56805822,NES2
1080,¸äµÅÁö,Sus scrofa,,128.1965471,35.54690859,NES2
1091,¸äµÅÁö,Sus scrofa,,128.1443059,35.51841014,NES2
1097,¸äµÅÁö,Sus scrofa,,128.2262107,35.52794827,NES2
1105,¸äµÅÁö,Sus scrofa,,128.2649537,35.56629868,NES2
1116,¸äµÅÁö,Sus scrofa,,128.2669807,35.5137819,NES2
1124,¸äµÅÁö,Sus scrofa,,128.2935837,35.51898261,NES2
1128,¸äµÅÁö,Sus scrofa,,128.3099552,35.53289569,NES2
1131,¸äµÅÁö,Sus scrofa,,128.328694,35.54264254,NES2
1144,¸äµÅÁö,Sus scrofa,,128.046106,35.53391728,NES2
1173,¸äµÅÁö,Sus scrofa,,128.1443678,35.49295779,NES2
1189,¸äµÅÁö,Sus scrofa,,127.8537555,35.16712694,NES2
1194,¸äµÅÁö,Sus scrofa,,127.8563365,35.1594736,NES2
1200,¸äµÅÁö,Sus scrofa,,127.8422482,35.15931511,NES2
1248,¸äµÅÁö,Sus scrofa,,127.100984,37.86882089,NES2
1259,¸äµÅÁö,Sus scrofa,,127.1235153,37.87000644,NES2
1277,¸äµÅÁö,Sus scrofa,,127.881015,35.09424536,NES2
1294,¸äµÅÁö,Sus scrofa,,127.8891836,35.07892215,NES2
1299,¸äµÅÁö,Sus scrofa,,127.8994309,35.083224,NES2
1317,¸äµÅÁö,Sus scrofa,,127.8961759,35.07329966,NES2
1354,¸äµÅÁö,Sus scrofa,,127.139827,37.98169566,NES2
1393,¸äµÅÁö,Sus scrofa,,127.432101,37.36405197,NES2
1401,¸äµÅÁö,Sus scrofa,,127.4384171,37.3610637,NES2
1405,¸äµÅÁö,Sus scrofa,,127.4393091,37.35736618,NES2
1411,¸äµÅÁö,Sus scrofa,,127.4569449,37.35350815,NES2
1427,¸äµÅÁö,Sus scrofa,,127.4518383,37.34468097,NES2
1434,¸äµÅÁö,Sus scrofa,,127.6370733,37.21697849,NES2
1444,¸äµÅÁö,Sus scrofa,,127.6328278,37.21766352,NES2
1462,¸äµÅÁö,Sus scrofa,,127.6419481,37.21889505,NES2
1465,¸äµÅÁö,Sus scrofa,,127.6464617,37.21728098,NES2
1471,¸äµÅÁö,Sus scrofa,,127.6439738,37.22338787,NES2
1477,¸äµÅÁö,Sus scrofa,,127.649163,37.22327129,NES2
1478,¸äµÅÁö,Sus scrofa,,127.642888,37.21253166,NES2
1496,¸äµÅÁö,Sus scrofa,,127.6555021,37.21564184,NES2
1502,¸äµÅÁö,Sus scrofa,,127.6561273,37.21771366,NES2
1538,¸äµÅÁö,Sus scrofa,,127.3798611,36.93566492,NES2
1546,¸äµÅÁö,Sus scrofa,,127.3734898,36.92657863,NES2
1552,¸äµÅÁö,Sus scrofa,,127.3830436,36.92820131,NES2
1557,¸äµÅÁö,Sus scrofa,,127.3897377,36.92685724,NES2
1560,¸äµÅÁö,Sus scrofa,,127.3902844,36.92394019,NES2
1663,¸äµÅÁö,Sus scrofa,,127.3443985,37.08552434,NES2
1668,¸äµÅÁö,Sus scrofa,,127.3489305,37.07969851,NES2
1675,¸äµÅÁö,Sus scrofa,,127.3424865,37.07436751,NES2
1677,¸äµÅÁö,Sus scrofa,,127.3481358,37.07435114,NES2
1680,¸äµÅÁö,Sus scrofa,,127.3441487,37.07281954,NES2
1696,¸äµÅÁö,Sus scrofa,,126.7000706,37.18673246,NES2
1717,¸äµÅÁö,Sus scrofa,,126.8486119,37.20314937,NES2
1721,¸äµÅÁö,Sus scrofa,,126.9261397,37.02762752,NES2
1738,¸äµÅÁö,Sus scrofa,,126.933373,37.26326211,NES2
1767,¸äµÅÁö,Sus scrofa,,127.395257,36.93812187,NES2
1774,¸äµÅÁö,Sus scrofa,,127.3853262,36.92053014,NES2
1783,¸äµÅÁö,Sus scrofa,,127.389608,36.91603815,NES2
1828,¸äµÅÁö,Sus scrofa,,126.7807587,35.17532819,NES2
1829,¸äµÅÁö,Sus scrofa,,126.7598272,35.15893553,NES2
1842,¸äµÅÁö,Sus scrofa,,126.8596187,35.33232358,NES2
1853,¸äµÅÁö,Sus scrofa,,126.8457419,35.31241199,NES2
1866,¸äµÅÁö,Sus scrofa,,126.8679436,35.31093431,NES2
1887,¸äµÅÁö,Sus scrofa,,127.018484,35.36495387,NES2
1890,¸äµÅÁö,Sus scrofa,,127.0370842,35.36432773,NES2
1891,¸äµÅÁö,Sus scrofa,,127.4047194,36.92626261,NES2
1898,¸äµÅÁö,Sus scrofa,,127.3895426,36.99645617,NES2
1901,¸äµÅÁö,Sus scrofa,,127.3866619,36.99937495,NES2
1918,¸äµÅÁö,Sus scrofa,,127.379762,36.981073,NES2
1925,¸äµÅÁö,Sus scrofa,,127.3876712,36.98502883,NES2
1947,¸äµÅÁö,Sus scrofa,,127.4032323,36.99380803,NES2
1963,¸äµÅÁö,Sus scrofa,,127.4048999,36.99708288,NES2
1965,¸äµÅÁö,Sus scrofa,,127.4099966,36.99752587,NES2
2034,¸äµÅÁö,Sus scrofa,,126.9073918,36.19912303,NES2
2047,¸äµÅÁö,Sus scrofa,,126.8800542,36.20069106,NES2
2098,¸äµÅÁö,Sus scrofa,,127.1282863,35.65834758,NES2
2144,¸äµÅÁö,Sus scrofa,,127.3810136,35.69191418,NES2
2162,¸äµÅÁö,Sus scrofa,,127.5039958,35.85444253,NES2
2171,¸äµÅÁö,Sus scrofa,,127.516362,35.86245344,NES2
2184,¸äµÅÁö,Sus scrofa,,127.5493874,35.8529493,NES2
2188,¸äµÅÁö,Sus scrofa,,127.3596899,35.70411196,NES2
2190,¸äµÅÁö,Sus scrofa,,126.954624,35.43481405,NES2
2194,¸äµÅÁö,Sus scrofa,,126.9603758,35.38497285,NES2
2197,¸äµÅÁö,Sus scrofa,,127.002282,35.42638726,NES2
2208,¸äµÅÁö,Sus scrofa,,126.77359,35.1816716,NES2
2228,¸äµÅÁö,Sus scrofa,,127.106484,35.29533324,NES2
2245,¸äµÅÁö,Sus scrofa,,126.5890296,34.38519688,NES2
2250,¸äµÅÁö,Sus scrofa,,126.6888351,34.51346657,NES2
2295,¸äµÅÁö,Sus scrofa,,128.8567257,35.34180806,NES2
2296,¸äµÅÁö,Sus scrofa,,128.8678821,35.35344827,NES2
