번호,과학원번호,발견일,폐사추정일,폐사경과일,,
122,20S-1031,2020-01-27,2020-01-24,3,,
123,20S-1032,2020-01-27,2020-01-12,15,,
124,20S-1033,2020-01-27,2020-01-24,3,,
125,20S-1041,2020-01-28,2020-01-03,25,,
126,20S-1043,2020-01-28,2020-01-03,25,,
127,20S-1045,2020-01-28,2020-01-23,5,,
128,20S-1047,2020-01-28,2020-01-21,7,,
129,20S-1049,2020-01-28,2020-01-21,7,,
130,20S-1058,2020-01-27,2020-01-27,0,,
131,20S-1126,2020-01-29,2020-01-04,25,,
132,20S-1127,2020-01-29,2020-01-04,25,,
133,20S-1129,2020-01-29,2020-01-26,3,,
134,20S-1170,2020-01-27,2020-01-02,25,,
135,20S-1179,2020-01-30,2020-01-27,3,,
136,20S-1180,2020-01-30,2020-01-27,3,,
137,20S-1181,2020-01-30,2020-01-10,20,,
138,20S-1185,2020-01-30,2020-01-05,25,,
139,20S-1213,2020-01-31,2020-01-21,10,,
140,20S-1214,2020-01-31,2020-01-11,20,,
141,20S-1215,2020-01-31,2020-01-16,15,,
142,20S-1226,2020-01-31,2020-01-28,3,,
143,20S-1228,2020-01-31,2020-01-28,3,,
144,20S-1229,2020-01-31,2020-01-24,7,,
145,20S-1230,2020-01-31,2020-01-21,10,,
146,20S-1232,2020-01-31,2019-12-22,40,,
147,20S-1245,2020-02-01,2020-01-27,5,,
148,20S-1254,2020-02-01,2020-01-25,7,,
149,20S-1266,2020-02-02,2019-12-24,40,,
150,20S-1270,2020-02-02,2020-01-23,10,,
151,20S-1271,2020-02-02,2020-01-08,25,,
152,20S-1273,2020-02-02,2020-01-28,5,,
153,20S-1274,2020-02-02,2020-01-28,5,,
154,20S-1325,2020-02-03,2020-01-19,15,,
155,20S-1330,2020-02-03,2020-01-09,25,,
156,20S-1331,2020-02-03,2020-01-29,5,,
157,20S-1332,2020-02-03,2020-01-19,15,,
158,20S-1334,2020-02-03,2020-01-09,25,,
159,20S-1335,2020-02-03,2020-01-09,25,,
160,20S-1336,2020-02-03,2020-01-27,7,,
161,20S-1337,2020-02-03,2020-01-31,3,,
162,20S-1338,2020-02-03,2020-01-27,7,,
163,20S-1339,2020-02-03,2020-01-29,5,,
164,20S-1340,2020-02-03,2020-01-29,5,,
165,20S-1430,2020-02-04,2020-02-01,3,,
166,20S-1431,2020-02-04,2020-02-01,3,,
167,20S-1440,2020-02-04,2020-01-10,25,,
168,20S-1441,2020-02-04,2020-01-20,15,,
169,20S-1450,2020-02-04,2020-01-25,10,,
170,20S-1522,2020-02-06,2020-01-30,7,,
171,20S-1569,2020-02-07,2020-02-02,5,,
172,20S-1582,2020-02-07,2020-02-02,5,,
173,20S-1598,2020-02-07,2020-01-28,10,,
174,20S-1603,2020-02-07,2020-02-07,0,,
175,20S-1615,2020-02-08,2020-01-14,25,,
176,20S-1619,2020-02-09,2020-02-06,3,,
177,20S-1618,2020-02-09,2020-02-04,5,,
178,20S-1654,2020-02-10,2020-02-07,3,,
179,20S-1657,2020-02-10,2020-02-05,5,,
180,20S-1659,2020-02-10,2020-02-03,7,,
181,20S-1660,2020-02-10,2020-02-07,3,,
182,20S-1662,2020-02-10,2020-02-05,5,,
183,20S-1663,2020-02-10,2020-01-31,10,,
184,20S-1727,2020-02-11,2020-02-08,3,,
